"projectID";"topic";"title"
"101046742";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101057429";"HORIZON-HLTH-2021-STAYHLTH-01-02";"Towards a molecular and neurobiological understanding of mental health and mental illness for the benefit of citizens and patients"
"101069118";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101062862";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101080167";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-16";"Basic Science for Quantum Technologies (RIA)"
"101058020";"HORIZON-INFRA-2021-SERV-01-02";"Research infrastructures services for a sustainable and resilient agriculture and agro-ecological transitions"
"101081460";"HORIZON-CL5-2022-D1-02-04";"Supporting the formulation of adaptation strategies through improved climate predictions in Europe and beyond"
"101058349";"HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01";"Medical Technology and Devices: from Lab to Patient"
"101075592";"HORIZON-CL5-2021-D3-02-08";"Electricity system reliability and resilience by design: High-Voltage, Direct Current (HVDC)-based systems and solutions"
"101062360";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064972";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101068791";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101060768";"HORIZON-CL2-2021-HERITAGE-01-01";"Green technologies and materials for cultural heritage"
"101075609";"HORIZON-CL5-2021-D3-02-14";"Support to the activities of the European Geological Services"
"101069506";"HORIZON-CL5-2021-D2-01-16";"Co-Funded Partnership: Driving Urban Transitions to a sustainable future (DUT)"
"101060415";"HORIZON-CL6-2021-BIODIV-01-07";"Ecosystems and their services for an evidence-based policy and decision-making"
"101070767";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101058093";"HORIZON-WIDERA-2021-ERA-01-81";"Policy coordination to advance the implementation of the ERA gender equality and inclusiveness objectives within Member States"
"101057739";"HORIZON-HLTH-2021-ENVHLTH-02-03";"Health impacts of climate change, costs and benefits of action and inaction"
"101065577";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101057262";"HORIZON-HLTH-2021-ENVHLTH-02-01";"Exposure to electromagnetic fields (EMF) and health"
